autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA32,Las Acacias - Lo Blanco,1.7,categoria_2,TBFP,341.59
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA32,Las Acacias - Lo Blanco,1.7,categoria_2,TBP,683.18
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA32,Las Acacias - Lo Blanco,1.7,categoria_3,TBFP,512.39
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA32,Las Acacias - Lo Blanco,1.7,categoria_3,TBP,1024.78
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA6,Lo Blanco - Colón,1.52,categoria_1y4,TBFP,152.71
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA6,Lo Blanco - Colón,1.52,categoria_1y4,TBP,305.42
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA6,Lo Blanco - Colón,1.52,categoria_2,TBFP,305.42
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA6,Lo Blanco - Colón,1.52,categoria_2,TBP,610.85
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA6,Lo Blanco - Colón,1.52,categoria_3,TBFP,458.13
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA6,Lo Blanco - Colón,1.52,categoria_3,TBP,916.27
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA37,Colón . Calera de Tango,4.38,categoria_1y4,TBFP,440.05
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA37,Colón . Calera de Tango,4.38,categoria_2,TBFP,880.1
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA37,Colón . Calera de Tango,4.38,categoria_3,TBFP,1320.16
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA4,Colón - La Capilla,1.25,categoria_1y4,TBFP,125.58
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA4,Colón - La Capilla,1.25,categoria_2,TBFP,251.17
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA4,Colón - La Capilla,1.25,categoria_3,TBFP,376.75
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA1,La Capilla - Los Guindos,7.68,categoria_1y4,TBFP,839.5
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA1,La Capilla - Los Guindos,7.68,categoria_2,TBFP,1679.0
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA1,La Capilla - Los Guindos,7.68,categoria_3,TBFP,2518.5
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA19,Ruta 5 Sur - A. Vespucio,3.97,categoria_1y4,TBFP,398.86
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA19,Ruta 5 Sur - A. Vespucio,3.97,categoria_2,TBFP,598.29
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA19,Ruta 5 Sur - A. Vespucio,3.97,categoria_3,TBFP,797.72
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA21,A. Vespucio - C. Valdovinos,4.93,categoria_1y4,TBFP,495.31
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA21,A. Vespucio - C. Valdovinos,4.93,categoria_2,TBFP,742.96
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA21,A. Vespucio - C. Valdovinos,4.93,categoria_3,TBFP,990.62
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA23,C. Valdovinos - Alameda,2.77,categoria_1y4,TBFP,278.29
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA23,C. Valdovinos - Alameda,2.77,categoria_1y4,TBP,556.59
